period_id,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
126,ABERDEEN,CANADA,TORONTO,SUNWING AIRLINES INC,C,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,15
126,ABERDEEN,POLAND,GDANSK,WIZZ AIR,S,20,0,15,35,15,10,5,20,0,0,0,0,20.35,16,56.25,27.8125
126,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,C,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30
126,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,S,50,0,4,38,28,10,4,10,6,0,0,0,22.2,58,60.344828,53.948276
126,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,S,131,5,3.676471,45.588235,33.088235,7.352941,2.205882,2.205882,2.205882,0,0,3.676471,9.977099,130,50.735294,33.538462
126,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,S,48,2,8,46,26,8,8,0,0,0,0,4,6.479167,49,72,25.142857
126,ABERDEEN,UNITED KINGDOM,EXETER,LOGANAIR LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,25,80.769231,13.88
126,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,S,59,5,1.5625,31.25,34.375,14.0625,3.125,4.6875,0,3.125,0,7.8125,18.949153,70,86.111111,4.671429
126,ABERDEEN,UNITED KINGDOM,KIRKWALL,EASTERN AIRWAYS,S,1,0,0,0,100,0,0,0,0,0,0,0,4,0,0,0
126,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,S,142,8,15.333333,46,26,3.333333,0.666667,1.333333,1.333333,0.666667,0,5.333333,7.471831,147,74.83871,24.020408
126,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET UK LTD,S,120,2,4.098361,50.819672,26.229508,8.196721,1.639344,4.918033,0.819672,1.639344,0,1.639344,12.758333,120,81.666667,11.941667
126,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,S,280,4,2.464789,39.084507,29.225352,15.492958,8.450704,2.464789,1.408451,0,0,1.408451,13.207143,270,60.431655,21.992593
126,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET UK LTD,S,52,0,3.846154,26.923077,23.076923,19.230769,15.384615,7.692308,0,0,3.846154,0,34,58,67.241379,18.827586
126,ABERDEEN,UNITED KINGDOM,MANCHESTER,EASYJET UK LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,30,80,15.733333
126,ABERDEEN,UNITED KINGDOM,MANCHESTER,LOGANAIR LTD,S,160,0,6.25,35.625,33.75,8.125,8.75,5.625,0.625,1.25,0,0,15.6125,76,56.962025,30.328947
126,ABERDEEN,UNITED KINGDOM,NEWCASTLE,EASTERN AIRWAYS,S,39,7,0,34.782609,32.608696,4.347826,6.521739,2.173913,2.173913,2.173913,0,15.217391,17.666667,40,73.170732,12.725
126,ABERDEEN,UNITED KINGDOM,NEWCASTLE,LOGANAIR LTD,S,78,5,9.638554,45.783133,21.686747,8.433735,4.819277,2.409639,1.204819,0,0,6.024096,10.141026,0,0,0
126,ABERDEEN,UNITED KINGDOM,NEWQUAY,LOGANAIR LTD,S,22,0,4.545455,27.272727,50,9.090909,9.090909,0,0,0,0,0,9.272727,56,64.285714,36.071429
126,ABERDEEN,UNITED KINGDOM,NORWICH,LOGANAIR LTD,S,86,0,12.790698,50,22.093023,3.488372,9.302326,2.325581,0,0,0,0,7.965116,60,65.57377,24.483333
126,ABERDEEN,UNITED KINGDOM,SUMBURGH,EASTERN AIRWAYS,S,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33.333333,0
126,ABERDEEN,UNITED KINGDOM,SUMBURGH,LOGANAIR LTD,S,176,1,3.954802,25.423729,37.853107,15.254237,8.474576,6.214689,2.259887,0,0,0.564972,17.653409,156,55.625,31.762821
126,ABERDEEN,UNITED KINGDOM,SOUTHAMPTON,LOGANAIR LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,48,75,15.895833
126,ABERDEEN,UNITED KINGDOM,TEESSIDE INTERNATIONAL AIRPORT,EASTERN AIRWAYS,S,0,18,0,0,0,0,0,0,0,0,0,100,0,0,0,0
126,ABERDEEN,UNITED KINGDOM,TEESSIDE INTERNATIONAL AIRPORT,LOGANAIR LTD,S,48,1,10.204082,53.061224,18.367347,4.081633,8.163265,4.081633,0,0,0,2.040816,7.958333,43,86.363636,9.744186
126,ABERDEEN,UNITED KINGDOM,WICK JOHN O GROATS,EASTERN AIRWAYS,S,87,4,1.098901,42.857143,38.461538,5.494505,2.197802,5.494505,0,0,0,4.395604,9.586207,62,76.5625,12.112903
126,ABERDEEN,UNITED KINGDOM,WICK JOHN O GROATS,LOGANAIR LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0
126,ABERDEEN,DENMARK,COPENHAGEN,SAS,S,8,0,0,12.5,37.5,50,0,0,0,0,0,0,13,0,0,0
126,ABERDEEN,DENMARK,ESBJERG,LOGANAIR LTD,S,38,0,21.052632,42.105263,21.052632,5.263158,10.526316,0,0,0,0,0,6.921053,36,51.282051,32.75
126,ABERDEEN,IRISH REPUBLIC,DUBLIN,AER LINGUS,S,60,0,1.666667,20,36.666667,23.333333,13.333333,5,0,0,0,0,17.016667,0,0,0
126,ABERDEEN,IRISH REPUBLIC,DUBLIN,LOGANAIR LTD,S,60,0,0,30,38.333333,13.333333,6.666667,8.333333,3.333333,0,0,0,20.95,60,55,29.566667
126,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM,S,10,4,0,14.285714,14.285714,21.428571,21.428571,0,0,0,0,28.571429,20.7,2,0,43.5
126,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM CITYHOPPER,S,233,0,2.145923,33.905579,46.351931,8.583691,6.866953,1.287554,0.858369,0,0,0,9.463519,210,58.095238,24.957143
126,ABERDEEN,NETHERLANDS,MAASTRICHT,AIR HAMBURG,C,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0
126,ABERDEEN,NORWAY,BERGEN,WIDEROE FLYVESELSKAP A/S,S,90,0,15.555556,54.444444,24.444444,3.333333,0,2.222222,0,0,0,0,3.533333,87,86.206897,8.229885
126,ABERDEEN,NORWAY,HAUGESUND,LOGANAIR LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0
126,ABERDEEN,NORWAY,OSLO (GARDERMOEN),LOGANAIR LTD,S,42,2,0,43.181818,38.636364,4.545455,6.818182,0,2.272727,0,0,4.545455,9.761905,0,0,0
126,ABERDEEN,NORWAY,STAVANGER,SAS,S,80,2,7.317073,52.439024,28.04878,2.439024,7.317073,0,0,0,0,2.439024,5.4625,80,70.731707,14.1875
126,ABERDEEN,NORWAY,STAVANGER,WIDEROE FLYVESELSKAP A/S,S,72,2,29.72973,48.648649,12.162162,2.702703,1.351351,2.702703,0,0,0,2.702703,3.555556,64,85.294118,6.375
