period_id,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
123,ABERDEEN,HUNGARY,BUDAPEST,WIZZ AIR,S,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8
123,ABERDEEN,POLAND,GDANSK,WIZZ AIR,S,20,0,10,45,20,5,10,0,10,0,0,0,20.75,37.5,16.875
123,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,S,46,0,10.869565,30.434783,30.434783,13.043478,6.521739,8.695652,0,0,0,0,15.26087,76.470588,20.029412
123,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,S,108,0,3.703704,36.111111,31.481481,7.407407,15.740741,5.555556,0,0,0,0,14.351852,88.888889,6.285714
123,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,S,46,0,8.695652,30.434783,26.086957,19.565217,8.695652,6.521739,0,0,0,0,15.695652,85.365854,6.8
123,ABERDEEN,UNITED KINGDOM,EDINBURGH,LOGANAIR LTD,S,1,0,0,0,0,100,0,0,0,0,0,0,21,0,0
123,ABERDEEN,UNITED KINGDOM,GLASGOW,LOGANAIR LTD,C,1,0,0,0,100,0,0,0,0,0,0,0,15,0,0
123,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,S,56,6,1.612903,56.451613,25.806452,4.83871,0,1.612903,0,0,0,9.677419,3.928571,86.27451,5.74
123,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,C,1,0,0,0,0,100,0,0,0,0,0,0,18,0,0
123,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,S,129,4,12.781955,36.090226,21.804511,7.518797,3.759398,6.015038,6.015038,3.007519,0,3.007519,26.186047,84.158416,9.649485
123,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET UK LTD,S,124,0,12.096774,61.290323,20.16129,2.419355,1.612903,1.612903,0.806452,0,0,0,4.693548,90.909091,9.25
123,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,S,370,18,0.515464,27.061856,36.597938,13.659794,12.113402,3.608247,1.546392,0.257732,0,4.639175,16.537838,85,7.224409
123,ABERDEEN,UNITED KINGDOM,LONDON CITY,BA CITYFLYER LTD,S,32,0,28.125,56.25,9.375,3.125,3.125,0,0,0,0,0,2.625,0,0
123,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET UK LTD,S,32,0,12.5,56.25,18.75,9.375,3.125,0,0,0,0,0,3.96875,83.333333,2.928571
123,ABERDEEN,UNITED KINGDOM,MANCHESTER,LOGANAIR LTD,S,140,3,4.195804,26.573427,37.762238,11.888112,7.692308,8.391608,0,1.398601,0,2.097902,19.757143,96.666667,1.783333
123,ABERDEEN,UNITED KINGDOM,NEWCASTLE,EASTERN AIRWAYS,S,58,9,1.492537,31.343284,40.298507,4.477612,5.970149,2.985075,0,0,0,13.432836,8.206897,81.818182,13.03125
123,ABERDEEN,UNITED KINGDOM,NEWCASTLE,LOGANAIR LTD,S,2,1,0,0,66.666667,0,0,0,0,0,0,33.333333,9.5,0,0
123,ABERDEEN,UNITED KINGDOM,NEWQUAY,LOGANAIR LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,92.857143,2.821429
123,ABERDEEN,UNITED KINGDOM,NORWICH,LOGANAIR LTD,S,86,0,3.488372,27.906977,31.395349,9.302326,12.790698,11.627907,3.488372,0,0,0,22.465116,77.419355,6.964286
123,ABERDEEN,UNITED KINGDOM,SUMBURGH,LOGANAIR LTD,S,123,2,0,23.2,42.4,12,10.4,5.6,4,0.8,0,1.6,21.96748,68.376068,18.936937
123,ABERDEEN,UNITED KINGDOM,TEESSIDE INTERNATIONAL AIRPORT,LOGANAIR LTD,S,85,0,2.352941,56.470588,20,2.352941,7.058824,10.588235,1.176471,0,0,0,15.835294,87.301587,3.95
123,ABERDEEN,UNITED KINGDOM,WICK JOHN O GROATS,EASTERN AIRWAYS,S,88,24,4.464286,36.607143,30.357143,3.571429,2.678571,0.892857,0,0,0,21.428571,5.136364,0,0
