period_id,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
129,ABERDEEN,BULGARIA,BURGAS,BH AIR,C,8,0,0,25,50,25,0,0,0,0,0,0,10.75,10,60,23.1
129,ABERDEEN,LATVIA,RIGA,AIR BALTIC,S,18,0,0,11.111111,11.111111,22.222222,5.555556,50,0,0,0,0,49.833333,18,50,33.055556
129,ABERDEEN,POLAND,GDANSK,WIZZ AIR,S,26,0,3.846154,15.384615,38.461538,3.846154,23.076923,15.384615,0,0,0,0,31.769231,18,55.555556,24.388889
129,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,S,54,7,0,27.868852,24.590164,11.47541,11.47541,6.557377,4.918033,1.639344,0,11.47541,29,62,85.483871,6.048387
129,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,S,142,6,0.675676,25,29.72973,17.567568,14.864865,7.432432,0.675676,0,0,4.054054,19.859155,144,40.972222,31.694444
129,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,S,39,5,4.545455,47.727273,13.636364,13.636364,4.545455,0,4.545455,0,0,11.363636,13.102564,51,70.588235,17.117647
129,ABERDEEN,UNITED KINGDOM,EDINBURGH,LOGANAIR LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,52.5
129,ABERDEEN,UNITED KINGDOM,EXETER,LOGANAIR LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,18,72.222222,28.833333
129,ABERDEEN,UNITED KINGDOM,GUERNSEY,AURIGNY AIR SERVICES,C,1,0,0,0,0,0,100,0,0,0,0,0,53,0,0,0
129,ABERDEEN,UNITED KINGDOM,GUERNSEY,AURIGNY AIR SERVICES,S,1,1,0,0,50,0,0,0,0,0,0,50,14,0,0,0
129,ABERDEEN,UNITED KINGDOM,GUERNSEY,LOGANAIR LTD,C,4,0,0,0,0,0,100,0,0,0,0,0,46.25,0,0,0
129,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,S,44,3,0,27.659574,36.170213,8.510638,8.510638,2.12766,6.382979,4.255319,0,6.382979,28.113636,71,73.239437,19.43662
129,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,S,150,6,12.820513,38.461538,26.282051,7.051282,8.333333,0.641026,2.564103,0,0,3.846154,11.026667,165,75.449102,19
129,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET UK LTD,S,132,1,0.75188,33.082707,21.052632,9.022556,12.781955,18.796992,3.007519,0,0.75188,0.75188,32.651515,124,55.645161,26.653226
129,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,S,292,0,4.109589,34.931507,26.369863,15.068493,16.09589,3.082192,0.342466,0,0,0,14.660959,202,47.115385,33.40099
129,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET UK LTD,S,56,3,3.389831,18.644068,30.508475,13.559322,15.254237,10.169492,3.389831,0,0,5.084746,27.321429,36,30.555556,33.611111
129,ABERDEEN,UNITED KINGDOM,MANCHESTER,EASYJET UK LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,42,65.909091,17.142857
129,ABERDEEN,UNITED KINGDOM,MANCHESTER,LOGANAIR LTD,S,152,11,4.907975,20.858896,32.515337,12.883436,8.588957,6.134969,4.907975,1.226994,1.226994,6.748466,29.980263,110,78.571429,10.654545
129,ABERDEEN,UNITED KINGDOM,NEWCASTLE,EASTERN AIRWAYS,S,0,0,0,0,0,0,0,0,0,0,0,0,0,37,63.414634,28.135135
129,ABERDEEN,UNITED KINGDOM,NEWCASTLE,LOGANAIR LTD,S,60,1,3.278689,47.540984,29.508197,6.557377,4.918033,3.278689,3.278689,0,0,1.639344,12.883333,0,0,0
129,ABERDEEN,UNITED KINGDOM,NEWQUAY,EASTERN AIRWAYS,S,10,0,0,50,50,0,0,0,0,0,0,0,1.4,0,0,0
129,ABERDEEN,UNITED KINGDOM,NEWQUAY,LOGANAIR LTD,S,28,1,0,17.241379,51.724138,20.689655,6.896552,0,0,0,0,3.448276,9.321429,54,33.333333,49.259259
129,ABERDEEN,UNITED KINGDOM,NORWICH,LOGANAIR LTD,S,84,8,2.173913,36.956522,28.26087,9.782609,3.26087,6.521739,3.26087,1.086957,0,8.695652,18.666667,76,84.210526,10.723684
129,ABERDEEN,UNITED KINGDOM,SUMBURGH,LOGANAIR LTD,S,177,9,0.537634,8.602151,34.946237,16.666667,18.27957,10.215054,3.763441,2.150538,0,4.83871,34.011299,172,51.955307,36.052326
129,ABERDEEN,UNITED KINGDOM,SOUTHAMPTON,LOGANAIR LTD,S,24,1,0,8,36,8,0,32,8,4,0,4,58.083333,0,0,0
129,ABERDEEN,UNITED KINGDOM,TEESSIDE INTERNATIONAL AIRPORT,LOGANAIR LTD,S,45,7,11.538462,42.307692,9.615385,13.461538,1.923077,0,5.769231,1.923077,0,13.461538,21.577778,84,89.285714,9.869048
129,ABERDEEN,UNITED KINGDOM,WICK JOHN O GROATS,EASTERN AIRWAYS,S,92,3,0,44.210526,42.105263,2.105263,1.052632,3.157895,2.105263,2.105263,0,3.157895,16.086957,103,83.495146,11.456311
129,ABERDEEN,DENMARK,COPENHAGEN,SAS,S,20,4,0,25,25,16.666667,16.666667,0,0,0,0,16.666667,13.5,8,37.5,17.375
129,ABERDEEN,DENMARK,ESBJERG,LOGANAIR LTD,S,44,0,11.363636,22.727273,34.090909,15.909091,4.545455,11.363636,0,0,0,0,16.136364,42,64.285714,19
129,ABERDEEN,FRANCE,LA ROCHELLE,RYANAIR,S,1,0,0,0,0,0,0,100,0,0,0,0,85,0,0,0
129,ABERDEEN,GREECE,CORFU,TUI AIRWAYS LTD,C,8,0,0,0,12.5,12.5,25,37.5,0,12.5,0,0,89.5,11,18.181818,121.909091
129,ABERDEEN,GREECE,RHODES,TUI AIRWAYS LTD,C,7,0,0,0,28.571429,28.571429,28.571429,14.285714,0,0,0,0,34.857143,8,0,144.5
129,ABERDEEN,IRISH REPUBLIC,DUBLIN,AER LINGUS,S,62,0,3.225806,20.967742,38.709677,11.290323,14.516129,6.451613,1.612903,3.225806,0,0,25.290323,0,0,0
129,ABERDEEN,IRISH REPUBLIC,DUBLIN,LOGANAIR LTD,S,62,0,3.225806,25.806452,27.419355,14.516129,20.967742,8.064516,0,0,0,0,19.693548,62,51.612903,27.693548
129,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM,S,123,4,2.362205,31.496063,40.15748,12.598425,8.661417,1.574803,0,0,0,3.149606,10.910569,10,33.333333,18.8
129,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM CITYHOPPER,S,117,0,0,42.735043,43.589744,10.25641,1.709402,1.709402,0,0,0,0,6.376068,199,68.341709,16.130653
129,ABERDEEN,NORWAY,BERGEN,WIDEROE FLYVESELSKAP A/S,S,106,0,4.716981,71.698113,16.981132,4.716981,0,0,0,1.886792,0,0,5.537736,59,75.806452,10.762712
129,ABERDEEN,NORWAY,OSLO (GARDERMOEN),LOGANAIR LTD,S,48,4,5.769231,36.538462,30.769231,7.692308,1.923077,5.769231,3.846154,0,0,7.692308,14.916667,0,0,0
129,ABERDEEN,NORWAY,STAVANGER,SAS,S,92,2,2.12766,42.553191,30.851064,14.893617,4.255319,3.191489,0,0,0,2.12766,10.467391,68,75.714286,9.323529
129,ABERDEEN,NORWAY,STAVANGER,WIDEROE FLYVESELSKAP A/S,S,50,2,1.923077,63.461538,26.923077,0,3.846154,0,0,0,0,3.846154,2.22,39,66.666667,11.025641
129,ABERDEEN,PORTUGAL(EXCLUDING MADEIRA),FARO,RYANAIR,S,18,1,10.526316,36.842105,42.105263,5.263158,0,0,0,0,0,5.263158,4.055556,18,55.555556,24.722222
129,ABERDEEN,SPAIN,ALICANTE,RYANAIR,S,18,0,0,27.777778,33.333333,0,16.666667,11.111111,11.111111,0,0,0,34.166667,18,88.888889,5.555556
129,ABERDEEN,SPAIN,MALAGA,RYANAIR,S,17,1,0,27.777778,61.111111,0,0,5.555556,0,0,0,5.555556,10.941176,16,72.222222,16.5
129,ABERDEEN,SPAIN,PALMA DE MALLORCA,TUI AIRWAYS LTD,C,26,0,3.846154,42.307692,19.230769,11.538462,19.230769,3.846154,0,0,0,0,14.961538,26,34.615385,149.5
129,ABERDEEN,SPAIN,REUS,TUI AIRWAYS LTD,C,10,0,30,50,20,0,0,0,0,0,0,0,2.3,10,90,6.9
129,ABERDEEN,SPAIN(CANARY ISLANDS),TENERIFE (SURREINA SOFIA),TUI AIRWAYS LTD,C,10,0,30,50,0,20,0,0,0,0,0,0,4.5,8,50,31.625
129,ABERDEEN,TURKEY,DALAMAN,TUI AIRWAYS LTD,C,17,0,0,23.529412,29.411765,11.764706,17.647059,11.764706,0,0,5.882353,0,82.470588,17,29.411765,115.941176
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,ABERDEEN,LOGANAIR LTD,S,54,8,1.612903,30.645161,20.967742,11.290323,9.677419,4.83871,8.064516,0,0,12.903226,27.962963,62,83.870968,4.887097
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,BIRMINGHAM,AER LINGUS,S,20,2,0,31.818182,31.818182,9.090909,9.090909,9.090909,0,0,0,9.090909,17.65,186,82.795699,8.983871
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,BIRMINGHAM,EMERALD AIRLINES UK LTD,S,198,0,1.010101,28.282828,46.464646,13.636364,8.080808,2.020202,0,0,0.505051,0,12.954545,0,0,0
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,BIRMINGHAM,FLYBE LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,172,65.517241,20.267442
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,BRISTOL,EASYJET UK LTD,S,36,0,5.555556,38.888889,41.666667,2.777778,8.333333,2.777778,0,0,0,0,8.583333,0,0,0
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,CARDIFF WALES,AER LINGUS,S,12,0,0,58.333333,25,0,16.666667,0,0,0,0,0,7.583333,38,76.315789,11.368421
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,CARDIFF WALES,EMERALD AIRLINES UK LTD,S,50,0,0,48,42,6,0,0,0,4,0,0,11.18,0,0,0
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,DUNDEE,LOGANAIR LTD,S,18,0,27.777778,38.888889,22.222222,11.111111,0,0,0,0,0,0,2.888889,34,91.176471,4.176471
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EAST MIDLANDS INTERNATIONAL,EMERALD AIRLINES UK LTD,S,72,0,1.388889,26.388889,44.444444,13.888889,11.111111,2.777778,0,0,0,0,13.236111,0,0,0
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EAST MIDLANDS INTERNATIONAL,FLYBE LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,54,51.851852,23.759259
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EDINBURGH,AER LINGUS,S,2,7,0,0,22.222222,0,0,0,0,0,0,77.777778,5.5,126,57.142857,20.285714
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EDINBURGH,EMERALD AIRLINES UK LTD,S,199,0,2.01005,36.180905,34.673367,14.070352,11.055276,1.507538,0.502513,0,0,0,11.688442,0,0,0
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EDINBURGH,FLYBE LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,62,79.032258,10.548387
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EXETER,AER LINGUS,S,0,1,0,0,0,0,0,0,0,0,0,100,0,44,77.272727,11.727273
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EXETER,EMERALD AIRLINES (IRELAND) LIMITED,S,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EXETER,EMERALD AIRLINES UK LTD,S,61,0,9.836066,44.262295,29.508197,11.47541,3.278689,1.639344,0,0,0,0,5.721311,0,0,0
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,GLASGOW,AER LINGUS,S,0,3,0,0,0,0,0,0,0,0,0,100,0,101,82.692308,6.29703
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,GLASGOW,EASYJET UK LTD,S,26,2,0,50,14.285714,14.285714,7.142857,7.142857,0,0,0,7.142857,12.846154,0,0,0
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,GLASGOW,EMERALD AIRLINES UK LTD,S,116,1,11.965812,58.119658,12.820513,7.692308,6.837607,1.709402,0,0,0,0.854701,6.810345,0,0,0
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,GLASGOW,FLYBE LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,112,73.684211,18.651786
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,PRESTWICK,EMERALD AIRLINES (IRELAND) LIMITED,S,0,3,0,0,0,0,0,0,0,0,0,100,0,0,0,0
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,GUERNSEY,AURIGNY AIR SERVICES,S,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,INVERNESS,LOGANAIR LTD,S,56,2,1.724138,18.965517,39.655172,6.896552,13.793103,15.517241,0,0,0,3.448276,23.321429,54,44.642857,33.222222
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,ISLE OF MAN,EMERALD AIRLINES UK LTD,S,54,0,12.962963,25.925926,24.074074,3.703704,22.222222,11.111111,0,0,0,0,21.166667,0,0,0
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,JERSEY,EMERALD AIRLINES UK LTD,S,18,0,11.111111,38.888889,33.333333,5.555556,11.111111,0,0,0,0,0,8.666667,0,0,0
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,LEEDS BRADFORD,AER LINGUS,S,24,0,4.166667,58.333333,20.833333,12.5,4.166667,0,0,0,0,0,5.291667,126,82.539683,8.833333
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,LEEDS BRADFORD,EMERALD AIRLINES UK LTD,S,150,0,3.333333,43.333333,36.666667,8,6,1.333333,0,1.333333,0,0,10.106667,0,0,0
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,LEEDS BRADFORD,FLYBE LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,183,68.783069,15.923497
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,LIVERPOOL (JOHN LENNON),EASYJET UK LTD,S,106,8,3.508772,50,20.175439,8.77193,8.77193,1.754386,0,0,0,7.017544,8.5,54,96.296296,3.425926
129,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,GATWICK,EASYJET UK LTD,S,180,6,1.075269,24.731183,26.88172,12.365591,15.053763,16.129032,0.537634,0,0,3.225806,26.2,90,41.304348,38.088889
