period_id,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
128,ABERDEEN,BULGARIA,BURGAS,BH AIR,C,7,0,0,0,100,0,0,0,0,0,0,0,6.571429,8,25,47.375
128,ABERDEEN,LATVIA,RIGA,AIR BALTIC,S,16,0,0,0,37.5,25,18.75,6.25,12.5,0,0,0,42.375,16,50,36.875
128,ABERDEEN,POLAND,GDANSK,WIZZ AIR,S,22,2,8.333333,29.166667,29.166667,16.666667,4.166667,4.166667,0,0,0,8.333333,12.181818,18,72.222222,22.388889
128,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,S,58,0,1.724138,25.862069,41.37931,10.344828,3.448276,12.068966,5.172414,0,0,0,22.637931,52,65.384615,31.519231
128,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,S,152,2,0.649351,25.974026,40.25974,11.038961,11.038961,8.441558,1.298701,0,0,1.298701,18.809211,131,33.088235,39.419847
128,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,S,50,2,9.615385,30.769231,21.153846,13.461538,11.538462,7.692308,1.923077,0,0,3.846154,18.1,42,51.162791,35.785714
128,ABERDEEN,UNITED KINGDOM,EDINBURGH,LOGANAIR LTD,S,1,0,0,0,0,100,0,0,0,0,0,0,16,0,0,0
128,ABERDEEN,UNITED KINGDOM,EXETER,LOGANAIR LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,20,55,29
128,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,S,53,10,7.936508,19.047619,25.396825,3.174603,4.761905,12.698413,11.111111,0,0,15.873016,39.90566,66,62.337662,22.575758
128,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,S,151,5,6.410256,33.974359,24.358974,12.179487,7.692308,5.769231,3.846154,2.564103,0,3.205128,24.125828,161,77.777778,10.993789
128,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET UK LTD,S,118,2,0,25.833333,30.833333,9.166667,16.666667,8.333333,5.833333,1.666667,0,1.666667,30.559322,120,68.333333,24.225
128,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,S,254,15,1.115242,24.907063,28.996283,16.356877,14.869888,5.204461,1.486989,0.743494,0.743494,5.576208,28.606299,255,56.031128,23.603922
128,ABERDEEN,UNITED KINGDOM,HEATHROW,LOGANAIR LTD,S,1,0,0,0,0,0,100,0,0,0,0,0,45,0,0,0
128,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET UK LTD,S,62,8,2.857143,15.714286,41.428571,7.142857,8.571429,4.285714,8.571429,0,0,11.428571,26.806452,58,51.724138,27.982759
128,ABERDEEN,UNITED KINGDOM,CITY OF DERRY (EGLINTON),EASTERN AIRWAYS,S,1,0,0,0,100,0,0,0,0,0,0,0,3,0,0,0
128,ABERDEEN,UNITED KINGDOM,MANCHESTER,EASYJET UK LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,26,32.142857,37.153846
128,ABERDEEN,UNITED KINGDOM,MANCHESTER,LOGANAIR LTD,S,172,4,1.704545,26.136364,38.068182,11.363636,10.795455,8.522727,0,1.136364,0,2.272727,18.988372,105,67.924528,21.733333
128,ABERDEEN,UNITED KINGDOM,NEWCASTLE,EASTERN AIRWAYS,S,29,14,0,25.581395,27.906977,2.325581,6.976744,4.651163,0,0,0,32.55814,14.862069,41,45.652174,34.414634
128,ABERDEEN,UNITED KINGDOM,NEWCASTLE,LOGANAIR LTD,S,74,3,2.597403,45.454545,25.974026,5.194805,9.090909,0,5.194805,1.298701,1.298701,3.896104,24.324324,0,0,0
128,ABERDEEN,UNITED KINGDOM,NEWQUAY,EASTERN AIRWAYS,S,6,2,0,25,25,25,0,0,0,0,0,25,11,0,0,0
128,ABERDEEN,UNITED KINGDOM,NEWQUAY,LOGANAIR LTD,S,16,0,0,31.25,43.75,12.5,6.25,6.25,0,0,0,0,8.6875,55,34.545455,40.890909
128,ABERDEEN,UNITED KINGDOM,NORWICH,LOGANAIR LTD,S,95,1,5.208333,45.833333,27.083333,8.333333,7.291667,2.083333,2.083333,1.041667,0,1.041667,13.442105,74,62.162162,28.040541
128,ABERDEEN,UNITED KINGDOM,SUMBURGH,EASTERN AIRWAYS,S,2,0,0,100,0,0,0,0,0,0,0,0,0,2,100,10
128,ABERDEEN,UNITED KINGDOM,SUMBURGH,LOGANAIR LTD,S,171,6,1.694915,14.124294,30.508475,20.903955,18.079096,9.60452,1.129944,0.564972,0,3.389831,27.152047,162,39.306358,43.524691
128,ABERDEEN,UNITED KINGDOM,SOUTHAMPTON,LOGANAIR LTD,S,8,1,0,22.222222,0,11.111111,11.111111,0,33.333333,11.111111,0,11.111111,92.25,0,0,0
128,ABERDEEN,UNITED KINGDOM,TEESSIDE INTERNATIONAL AIRPORT,EASTERN AIRWAYS,S,0,14,0,0,0,0,0,0,0,0,0,100,0,0,0,0
128,ABERDEEN,UNITED KINGDOM,TEESSIDE INTERNATIONAL AIRPORT,LOGANAIR LTD,C,2,0,0,0,100,0,0,0,0,0,0,0,11.5,0,0,0
128,ABERDEEN,UNITED KINGDOM,TEESSIDE INTERNATIONAL AIRPORT,LOGANAIR LTD,S,50,2,3.846154,48.076923,9.615385,11.538462,1.923077,9.615385,9.615385,1.923077,0,3.846154,33,88,83.516484,12.204545
128,ABERDEEN,UNITED KINGDOM,WICK JOHN O GROATS,EASTERN AIRWAYS,S,83,13,1.041667,25,40.625,9.375,7.291667,2.083333,1.041667,0,0,13.541667,12.313253,100,80.582524,8.16
128,ABERDEEN,DENMARK,COPENHAGEN,SAS,S,12,0,0,8.333333,25,41.666667,16.666667,8.333333,0,0,0,0,25.666667,2,100,0
128,ABERDEEN,DENMARK,ESBJERG,LOGANAIR LTD,S,44,0,11.363636,25,29.545455,15.909091,6.818182,9.090909,0,0,2.272727,0,24.477273,36,66.666667,24.777778
128,ABERDEEN,GREECE,CORFU,TUI AIRWAYS LTD,C,9,0,0,0,11.111111,22.222222,22.222222,11.111111,22.222222,11.111111,0,0,86.666667,7,28.571429,78.142857
128,ABERDEEN,GREECE,RHODES,TUI AIRWAYS LTD,C,9,0,0,11.111111,11.111111,11.111111,22.222222,22.222222,22.222222,0,0,0,68,10,20,65.5
128,ABERDEEN,IRISH REPUBLIC,DUBLIN,AER LINGUS,S,58,0,1.724138,29.310345,29.310345,22.413793,10.344828,6.896552,0,0,0,0,16.310345,0,0,0
128,ABERDEEN,IRISH REPUBLIC,DUBLIN,LOGANAIR LTD,S,60,0,1.666667,21.666667,23.333333,8.333333,28.333333,13.333333,0,3.333333,0,0,35.833333,66,33.333333,49.833333
128,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM,S,8,14,0,27.272727,9.090909,0,0,0,0,0,0,63.636364,1.125,0,0,0
128,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM CITYHOPPER,S,228,0,0,26.315789,50,14.035088,5.701754,2.631579,1.315789,0,0,0,11.903509,233,63.519313,21.446352
128,ABERDEEN,NORWAY,BERGEN,LOGANAIR LTD,S,1,1,0,0,0,0,0,50,0,0,0,50,80,0,0,0
128,ABERDEEN,NORWAY,BERGEN,WIDEROE FLYVESELSKAP A/S,S,100,4,6.730769,50.961538,31.730769,5.769231,0.961538,0,0,0,0,3.846154,2.82,83,69.791667,7.674699
128,ABERDEEN,NORWAY,OSLO (GARDERMOEN),LOGANAIR LTD,S,50,2,1.923077,28.846154,36.538462,11.538462,5.769231,1.923077,5.769231,3.846154,0,3.846154,27.3,0,0,0
128,ABERDEEN,NORWAY,STAVANGER,SAS,S,86,4,0,34.444444,40,14.444444,2.222222,4.444444,0,0,0,4.444444,9.05814,86,79.069767,12.55814
128,ABERDEEN,NORWAY,STAVANGER,WIDEROE FLYVESELSKAP A/S,S,76,2,14.102564,60.25641,20.512821,2.564103,0,0,0,0,0,2.564103,1.092105,73,75.641026,9.39726
128,ABERDEEN,PORTUGAL(EXCLUDING MADEIRA),FARO,RYANAIR,S,16,0,18.75,43.75,31.25,6.25,0,0,0,0,0,0,2.8125,16,62.5,10.8125
128,ABERDEEN,SPAIN,ALICANTE,RYANAIR,S,18,0,5.555556,22.222222,38.888889,11.111111,22.222222,0,0,0,0,0,15.722222,18,94.444444,3.944444
128,ABERDEEN,SPAIN,MALAGA,RYANAIR,S,16,0,12.5,25,37.5,25,0,0,0,0,0,0,7.6875,16,62.5,49.6875
128,ABERDEEN,SPAIN,PALMA DE MALLORCA,TUI AIRWAYS LTD,C,24,0,0,4.166667,45.833333,4.166667,20.833333,16.666667,8.333333,0,0,0,42.208333,26,50,46.807692
128,ABERDEEN,SPAIN,REUS,TUI AIRWAYS LTD,C,8,0,12.5,37.5,12.5,0,25,12.5,0,0,0,0,19.875,8,50,46.875
128,ABERDEEN,SPAIN(CANARY ISLANDS),TENERIFE (SURREINA SOFIA),TUI AIRWAYS LTD,C,7,0,0,28.571429,14.285714,0,0,28.571429,14.285714,0,14.285714,0,241,8,25,65.125
