period_id,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
125,ABERDEEN,POLAND,GDANSK,WIZZ AIR,S,18,0,5.555556,55.555556,11.111111,22.222222,5.555556,0,0,0,0,0,7.277778,14,71.428571,9.357143
125,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,S,45,1,2.173913,45.652174,21.73913,13.043478,4.347826,0,8.695652,2.173913,0,2.173913,23.933333,46,76.086957,12.847826
125,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,S,150,11,3.10559,26.708075,25.465839,6.832298,8.695652,9.937888,8.074534,4.347826,0,6.832298,40.826667,121,81.300813,10.280992
125,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,S,52,2,11.111111,35.185185,24.074074,5.555556,11.111111,5.555556,3.703704,0,0,3.703704,18.153846,58,73.333333,14.965517
125,ABERDEEN,UNITED KINGDOM,EXETER,LOGANAIR LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,4,100,3.5
125,ABERDEEN,UNITED KINGDOM,GLASGOW,LOGANAIR LTD,S,1,0,0,0,100,0,0,0,0,0,0,0,8,0,0,0
125,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,S,62,13,1.333333,45.333333,24,4,0,5.333333,2.666667,0,0,17.333333,13.725806,72,95.833333,2.541667
125,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,S,150,5,9.677419,40,23.225806,7.741935,5.16129,7.096774,2.580645,1.290323,0,3.225806,18.8,158,80.124224,11.886076
125,ABERDEEN,UNITED KINGDOM,LIVERPOOL (JOHN LENNON),BRITISH AIRWAYS PLC,S,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
125,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET UK LTD,S,122,2,8.064516,45.967742,0,11.290323,6.451613,4.032258,1.612903,0,0,1.612903,11.696721,71,85.915493,6.732394
125,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,S,359,32,1.278772,27.877238,20.971867,16.112532,17.647059,6.905371,0.511509,0.511509,0,8.184143,21.924791,318,79.510703,10.437107
125,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET UK LTD,S,52,2,5.555556,37.037037,24.074074,11.111111,7.407407,7.407407,3.703704,0,0,3.703704,19.730769,52,83.333333,5.365385
125,ABERDEEN,UNITED KINGDOM,LUTON,TUI AIRWAYS LTD,C,2,0,0,0,50,50,0,0,0,0,0,0,12,0,0,0
125,ABERDEEN,UNITED KINGDOM,MANCHESTER,EASYJET UK LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,6,100,0
125,ABERDEEN,UNITED KINGDOM,MANCHESTER,LOGANAIR LTD,S,135,3,5.072464,30.434783,29.710145,8.695652,12.318841,4.347826,5.797101,1.449275,0,2.173913,25.592593,111,82.882883,18.225225
125,ABERDEEN,UNITED KINGDOM,NEWCASTLE,EASTERN AIRWAYS,S,43,17,3.333333,38.333333,20,5,1.666667,0,0,3.333333,0,28.333333,14.813953,46,93.478261,9
125,ABERDEEN,UNITED KINGDOM,NEWCASTLE,LOGANAIR LTD,S,21,1,0,50,27.272727,4.545455,0,9.090909,4.545455,0,0,4.545455,19.380952,0,0,0
125,ABERDEEN,UNITED KINGDOM,NEWQUAY,LOGANAIR LTD,S,37,0,8.108108,43.243243,32.432432,0,5.405405,2.702703,5.405405,2.702703,0,0,19.324324,47,80.851064,11.978723
125,ABERDEEN,UNITED KINGDOM,NORWICH,LOGANAIR LTD,S,96,5,3.960396,35.643564,31.683168,3.960396,8.910891,6.930693,0,3.960396,0,4.950495,21.3125,88,73.333333,20.738636
125,ABERDEEN,UNITED KINGDOM,SUMBURGH,EASTERN AIRWAYS,S,0,0,0,0,0,0,0,0,0,0,0,0,0,6,44.444444,13
125,ABERDEEN,UNITED KINGDOM,SUMBURGH,LOGANAIR LTD,S,149,13,1.851852,17.283951,27.160494,13.580247,12.962963,10.493827,5.555556,3.08642,0,8.024691,37.328859,143,59.183673,27.776224
125,ABERDEEN,UNITED KINGDOM,TEESSIDE INTERNATIONAL AIRPORT,LOGANAIR LTD,S,81,1,7.317073,62.195122,18.292683,1.219512,2.439024,3.658537,3.658537,0,0,1.219512,10.691358,78,71.794872,23.871795
125,ABERDEEN,UNITED KINGDOM,WICK JOHN O GROATS,EASTERN AIRWAYS,S,98,13,0.900901,33.333333,37.837838,3.603604,5.405405,2.702703,3.603604,0.900901,0,11.711712,17.704082,0,0,0
125,ABERDEEN,DENMARK,COPENHAGEN,SAS,S,8,0,0,25,37.5,25,12.5,0,0,0,0,0,13.375,0,0,0
