period_id,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
127,ABERDEEN,LATVIA,RIGA,AIR BALTIC,S,0,0,0,0,0,0,0,0,0,0,0,0,0,18,77.777778,21.666667
127,ABERDEEN,POLAND,GDANSK,WIZZ AIR,S,18,0,27.777778,27.777778,27.777778,16.666667,0,0,0,0,0,0,5.777778,18,66.666667,70.5
127,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,S,51,1,5.769231,34.615385,36.538462,3.846154,3.846154,9.615385,0,3.846154,0,1.923077,24.705882,50,62,24.72
127,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,S,134,8,3.521127,27.464789,38.732394,11.267606,7.042254,3.521127,2.112676,0.704225,0,5.633803,16.425373,133,50.746269,33.857143
127,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,S,51,3,9.259259,44.444444,24.074074,5.555556,1.851852,9.259259,0,0,0,5.555556,10.862745,40,38.095238,40.375
127,ABERDEEN,UNITED KINGDOM,EDINBURGH,LOGANAIR LTD,S,1,0,0,0,0,0,0,100,0,0,0,0,63,0,0,0
127,ABERDEEN,UNITED KINGDOM,EXETER,LOGANAIR LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,30,80,10.333333
127,ABERDEEN,UNITED KINGDOM,GLASGOW,LOGANAIR LTD,S,1,0,0,0,0,0,0,0,100,0,0,0,124,0,0,0
127,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,S,58,19,8.860759,17.721519,27.848101,5.063291,6.329114,6.329114,0,1.265823,0,24.050633,18.775862,74,89.61039,6.445946
127,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,S,152,8,5,40,23.125,8.125,8.125,7.5,2.5,0.625,0,5,19.776316,164,78.787879,10.621951
127,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET UK LTD,S,120,6,3.174603,44.444444,28.571429,7.142857,7.142857,4.761905,0,0,0,4.761905,10.45,122,71.774194,17.959016
127,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,S,308,16,3.395062,31.481481,30.246914,13.888889,10.185185,3.703704,0.925926,0.925926,0.308642,4.938272,19.548701,292,67.808219,16.167808
127,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET UK LTD,S,58,5,1.587302,25.396825,26.984127,14.285714,9.52381,11.111111,3.174603,0,0,7.936508,23.258621,44,79.545455,22.113636
127,ABERDEEN,UNITED KINGDOM,MANCHESTER,EASYJET UK LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,28,39.285714,43.178571
127,ABERDEEN,UNITED KINGDOM,MANCHESTER,LOGANAIR LTD,S,171,9,3.333333,33.333333,30,11.666667,7.222222,5,1.666667,2.777778,0,5,21.099415,86,58.888889,19.488372
127,ABERDEEN,UNITED KINGDOM,NEWCASTLE,EASTERN AIRWAYS,S,40,6,0,41.304348,21.73913,8.695652,2.173913,8.695652,4.347826,0,0,13.043478,20.25,41,59.090909,37.95122
127,ABERDEEN,UNITED KINGDOM,NEWCASTLE,LOGANAIR LTD,S,87,2,5.617978,43.820225,30.337079,3.370787,4.494382,5.617978,2.247191,2.247191,0,2.247191,16.505747,0,0,0
127,ABERDEEN,UNITED KINGDOM,NEWQUAY,EASTERN AIRWAYS,S,0,7,0,0,0,0,0,0,0,0,0,100,0,0,0,0
127,ABERDEEN,UNITED KINGDOM,NEWQUAY,LOGANAIR LTD,S,15,1,0,25,43.75,6.25,12.5,6.25,0,0,0,6.25,15.133333,57,42.105263,57.561404
127,ABERDEEN,UNITED KINGDOM,NORWICH,LOGANAIR LTD,S,91,3,8.510638,35.106383,36.170213,7.446809,6.382979,1.06383,2.12766,0,0,3.191489,9.340659,65,60.606061,28.153846
127,ABERDEEN,UNITED KINGDOM,SUMBURGH,EASTERN AIRWAYS,S,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33.333333,12.5
127,ABERDEEN,UNITED KINGDOM,SUMBURGH,LOGANAIR LTD,S,169,16,1.621622,19.459459,34.054054,17.837838,5.405405,7.027027,1.621622,3.783784,0.540541,8.648649,32.325444,169,59.883721,23.585799
127,ABERDEEN,UNITED KINGDOM,SOUTHAMPTON,LOGANAIR LTD,S,2,0,0,50,0,50,0,0,0,0,0,0,14,35,78.378378,13.571429
