period_id,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
133,ABERDEEN,CANADA,MONTREAL (DORVAL),TUI AIRWAYS LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,90
133,ABERDEEN,CANADA,TORONTO,TUI AIRWAYS LTD,S,1,0,0,0,0,0,100,0,0,0,0,0,44,0,0,0
133,ABERDEEN,POLAND,GDANSK,WIZZ AIR,S,18,0,38.888889,33.333333,16.666667,11.111111,0,0,0,0,0,0,3.333333,16,87.5,16.375
133,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,S,34,0,23.529412,35.294118,20.588235,8.823529,11.764706,0,0,0,0,0,8.117647,41,63.414634,37.804878
133,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,S,148,4,1.973684,32.236842,37.5,9.210526,7.236842,4.605263,1.973684,2.631579,0,2.631579,21.337838,147,65.100671,25.564626
133,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,S,48,1,10.204082,30.612245,18.367347,0,16.326531,14.285714,6.122449,2.040816,0,2.040816,34.979167,50,48.076923,33.08
133,ABERDEEN,UNITED KINGDOM,EDINBURGH,LOGANAIR LTD,S,2,0,0,0,0,0,50,50,0,0,0,0,70.5,0,0,0
133,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,S,66,4,1.428571,24.285714,42.857143,12.857143,2.857143,8.571429,1.428571,0,0,5.714286,15.893939,78,86.25,12.448718
133,ABERDEEN,UNITED KINGDOM,INVERNESS,LOGANAIR LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,10
133,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,S,149,8,15.923567,38.853503,22.929936,4.458599,5.095541,3.821656,1.273885,2.547771,0,5.095541,16.369128,152,83.43949,10.085526
133,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET UK LTD,S,120,0,8.333333,52.5,28.333333,4.166667,5,0.833333,0.833333,0,0,0,6.183333,120,92.5,4.091667
133,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,S,378,5,3.394256,34.986945,28.720627,14.62141,12.010444,3.655352,1.044386,0.261097,0,1.305483,15.166667,386,63.682864,19.53886
133,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET UK LTD,S,32,0,9.375,15.625,37.5,18.75,18.75,0,0,0,0,0,16.34375,24,83.333333,6.5
133,ABERDEEN,UNITED KINGDOM,MANCHESTER,LOGANAIR LTD,S,160,6,6.024096,45.783133,22.289157,6.024096,6.626506,6.024096,2.409639,1.204819,0,3.614458,16.48125,153,48.101266,35.869281
133,ABERDEEN,UNITED KINGDOM,NEWCASTLE,EASTERN AIRWAYS,S,0,16,0,0,0,0,0,0,0,0,0,100,0,58,91.37931,10.103448
133,ABERDEEN,UNITED KINGDOM,NEWCASTLE,LOGANAIR LTD,S,42,0,11.904762,35.714286,26.190476,11.904762,4.761905,7.142857,2.380952,0,0,0,15.452381,0,0,0
133,ABERDEEN,UNITED KINGDOM,NEWQUAY,LOGANAIR LTD,S,22,0,0,31.818182,36.363636,13.636364,4.545455,4.545455,4.545455,4.545455,0,0,26.636364,0,0,0
133,ABERDEEN,UNITED KINGDOM,NORWICH,LOGANAIR LTD,S,89,2,15.384615,32.967033,20.879121,4.395604,8.791209,9.89011,2.197802,3.296703,0,2.197802,24.550562,96,62.5,22.354167
133,ABERDEEN,UNITED KINGDOM,SUMBURGH,EASTERN AIRWAYS,S,0,0,0,0,0,0,0,0,0,0,0,0,0,2,66.666667,0
133,ABERDEEN,UNITED KINGDOM,SUMBURGH,LOGANAIR LTD,S,153,3,5.769231,34.615385,28.205128,13.461538,8.333333,4.487179,1.923077,1.282051,0,1.923077,18.137255,150,60.869565,24.733333
133,ABERDEEN,UNITED KINGDOM,SOUTHAMPTON,LOGANAIR LTD,S,36,0,8.333333,33.333333,27.777778,8.333333,16.666667,2.777778,0,2.777778,0,0,18.916667,0,0,0
133,ABERDEEN,UNITED KINGDOM,TEESSIDE INTERNATIONAL AIRPORT,LOGANAIR LTD,S,50,1,11.764706,41.176471,21.568627,0,11.764706,3.921569,7.843137,0,0,1.960784,20.54,86,86.046512,15.069767
133,ABERDEEN,UNITED KINGDOM,WICK JOHN O GROATS,EASTERN AIRWAYS,S,94,2,1.041667,29.166667,37.5,17.708333,6.25,1.041667,5.208333,0,0,2.083333,17.351064,105,75.454545,13.333333
