period_id,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
132,ABERDEEN,POLAND,GDANSK,WIZZ AIR,S,26,0,15.384615,26.923077,23.076923,15.384615,7.692308,3.846154,7.692308,0,0,0,24.115385,20,40,38.45
132,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,S,44,2,10.869565,34.782609,17.391304,13.043478,15.217391,0,4.347826,0,0,4.347826,16.931818,51,45.098039,23.196078
132,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,S,133,9,1.398601,25.174825,46.853147,10.48951,5.594406,2.797203,0.699301,0,0,6.293706,11.18797,143,50.675676,31.251748
132,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,S,48,2,12,26,38,8,0,8,4,0,0,4,18.0625,50,41.176471,40.02
132,ABERDEEN,UNITED KINGDOM,EDINBURGH,LOGANAIR LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,269
132,ABERDEEN,UNITED KINGDOM,EXETER,LOGANAIR LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,8,62.5,14.625
132,ABERDEEN,UNITED KINGDOM,GLASGOW,LOGANAIR LTD,S,1,0,0,0,0,0,0,100,0,0,0,0,75,0,0,0
132,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,S,57,4,0,34.375,45.3125,3.125,4.6875,0,1.5625,0,0,6.25,9.280702,74,93.333333,5.243243
132,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,S,136,24,7.5,34.375,25,3.125,6.875,6.875,1.25,0,0,15,14.147059,147,79.738562,14.272109
132,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET UK LTD,S,124,0,4.032258,40.322581,24.193548,8.870968,10.483871,8.870968,1.612903,1.612903,0,0,19.612903,122,85.483871,13.254098
132,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,S,322,16,1.47929,34.023669,26.331361,14.497041,13.313609,5.029586,0.591716,0,0,4.733728,15.928571,285,57.731959,18.533333
132,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET UK LTD,S,68,2,2.857143,45.714286,30,11.428571,5.714286,1.428571,0,0,0,2.857143,8.102941,60,72.580645,12.883333
132,ABERDEEN,UNITED KINGDOM,MANCHESTER,EASYJET UK LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,36,61.111111,26.888889
132,ABERDEEN,UNITED KINGDOM,MANCHESTER,LOGANAIR LTD,S,163,6,11.83432,29.585799,33.727811,7.100592,10.059172,3.550296,0.591716,0,0,3.550296,11.907975,114,56.302521,25.692982
132,ABERDEEN,UNITED KINGDOM,NEWCASTLE,EASTERN AIRWAYS,S,0,4,0,0,0,0,0,0,0,0,0,100,0,51,77.358491,10
