period_id,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
131,ABERDEEN,BULGARIA,BURGAS,BH AIR,C,3,0,0,0,33.333333,0,66.666667,0,0,0,0,0,27,8,50,31.625
131,ABERDEEN,LATVIA,RIGA,AIR BALTIC,S,16,0,0,12.5,75,12.5,0,0,0,0,0,0,6.3125,16,56.25,37
131,ABERDEEN,POLAND,GDANSK,WIZZ AIR,S,26,0,23.076923,30.769231,7.692308,19.230769,3.846154,7.692308,7.692308,0,0,0,25,18,33.333333,38.388889
131,ABERDEEN,KUWAIT,KUWAIT,BLUE ISLANDS LIMITED,C,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0
131,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,S,46,0,10.869565,30.434783,21.73913,21.73913,8.695652,6.521739,0,0,0,0,15.630435,52,57.692308,27.826923
131,ABERDEEN,UNITED KINGDOM,BELFAST INTERNATIONAL,TUI AIRWAYS LTD,S,1,0,0,0,0,0,100,0,0,0,0,0,58,0,0,0
131,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,S,151,1,0.657895,23.684211,46.052632,14.473684,10.526316,1.973684,1.973684,0,0,0.657895,15.264901,145,50.344828,25.944828
131,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,S,46,2,0,43.75,29.166667,6.25,4.166667,10.416667,2.083333,0,0,4.166667,15.978261,49,52,28.265306
131,ABERDEEN,UNITED KINGDOM,EDINBURGH,LOGANAIR LTD,C,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,95
131,ABERDEEN,UNITED KINGDOM,EXETER,LOGANAIR LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,18,44.444444,29.5
131,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,S,58,1,0,40.677966,40.677966,5.084746,6.779661,3.389831,0,1.694915,0,1.694915,12,63,74.666667,8.460317
131,ABERDEEN,UNITED KINGDOM,INVERNESS,LOGANAIR LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50
