airline_id,airline_name
1110,WIZZ AIR
1111,LOGANAIR LTD
1112,EASTERN AIRWAYS
1113,EASYJET UK LTD
1114,BRITISH AIRWAYS PLC
1115,BA CITYFLYER LTD
1116,SAS
1117,AER LINGUS
1118,KLM
1119,KLM CITYHOPPER
1120,WIDEROE FLYVESELSKAP A/S
1121,RYANAIR
1122,TUI AIRWAYS LTD
1123,EMERALD AIRLINES UK LTD
1124,FLYBE LTD
1125,EMERALD AIRLINES (IRELAND) LIMITED
1126,NETJETS TRANSPORTES AEREOS
1127,JET2.COM LTD
1128,SUN AIR OF SCANDINAVIA
1129,EUROAIR
1130,VUELING AIRLINES
1131,LONDON EXECUTIVE AVIATION LTD
1132,AIR NOSTRUM
1133,AIRTANKER SERVICES LTD
1134,EUROWINGS LUFTVERKEHRS
1135,BLUE AIR TRANSPORT AERIAN
1136,AIR INDIA
1137,JORDAN AVIATION
1138,QATAR AIRWAYS
1139,ETIHAD AIRWAYS
1140,EMIRATES
1141,STOBART AIR
1142,AURIGNY AIR SERVICES
1143,BLUE ISLANDS LIMITED
1144,THY TURKISH AIRLINES
1145,BRUSSELS AIRLINES
1146,ENTER AIR
1147,AVANTI AIR BEDARFSFLUGGES
1148,AIR FRANCE
1149,LUFTHANSA
1150,EASYJET EUROPE
1151,TITAN AIRWAYS LTD
1152,EASYJET SWITZERLAND
1153,SWISS AIRLINES
1154,SUNEXPRESS
1155,GAMA AVIATION (UK) LTD
1156,ZIMEX AVIATION
1157,2 EXCEL AVIATION LTD T/A THE BLADES BROADSWORD SCIMITAR SABRE AND T2
1158,ETF AIRWAYS
1159,CHALAIR
1160,CATREUS AOC LTD
1161,WIZZ AIR UK LTD
1162,VIRGIN ATLANTIC AIRWAYS LTD
1163,RYANAIR UK LTD
1164,DELTA AIRLINES
1165,UNITED AIRLINES
1166,NORWEGIAN AIR INTERNATIONAL
1167,ATLANTIC AIRWAYS
1168,FINNAIR
1169,AEGEAN AIRLINES
1170,TRANSAVIA
1171,NORWEGIAN AIR SHUTTLE
1172,EDELWEISS AIR
1173,AIR TRANSAT
