airport_id,airport_name
2001,ABERDEEN
2002,BELFAST CITY (GEORGE BEST)
2003,BELFAST INTERNATIONAL
2004,BIRMINGHAM
2005,BOURNEMOUTH
2006,BRISTOL
2007,CARDIFF WALES
2008,DONCASTER SHEFFIELD
2009,EAST MIDLANDS INTERNATIONAL
2010,EDINBURGH
2011,EXETER
2012,GLASGOW
2013,ISLE OF MAN
2014,JERSEY
2015,LEEDS BRADFORD
2016,LIVERPOOL (JOHN LENNON)
2017,GATWICK
2018,HEATHROW
2019,LONDON CITY
2020,LUTON
2021,STANSTED
2022,MANCHESTER
2023,NEWCASTLE
2024,SOUTHAMPTON
2025,TEESSIDE INTERNATIONAL AIRPORT
2026,SOUTHEND
