flight_id,period_id,airport_id,city_id,airline_id,scheduled_charter,number_flights_matched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay,flights_unmatched_percent,previous_year_month_flights_matched
1,123,2001,629,1110,S,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8,,
2,123,2001,701,1110,S,20,0,10,45,20,5,10,0,10,0,0,0,20.75,37.5,16.875,,
3,123,2001,598,1111,S,46,0,10.869565,30.434783,30.434783,13.043478,6.521739,8.695652,0,0,0,0,15.26087,76.470588,20.029412,,
4,123,2001,612,1111,S,108,0,3.703704,36.111111,31.481481,7.407407,15.740741,5.555556,0,0,0,0,14.351852,88.888889,6.285714,,
5,123,2001,624,1111,S,46,0,8.695652,30.434783,26.086957,19.565217,8.695652,6.521739,0,0,0,0,15.695652,85.365854,6.8,,
6,123,2001,684,1111,S,1,0,0,0,0,100,0,0,0,0,0,0,21,0,0,,
7,123,2001,706,1111,C,1,0,0,0,100,0,0,0,0,0,0,0,15,0,0,,
8,123,2001,725,1112,S,56,6,1.612903,56.451613,25.806452,4.83871,0,1.612903,0,0,0,9.677419,3.928571,86.27451,5.74,,
9,123,2001,753,1111,C,1,0,0,0,0,100,0,0,0,0,0,0,18,0,0,,
10,123,2001,753,1111,S,129,4,12.781955,36.090226,21.804511,7.518797,3.759398,6.015038,6.015038,3.007519,0,3.007519,26.186047,84.158416,9.649485,,
11,123,2001,699,1113,S,124,0,12.096774,61.290323,20.16129,2.419355,1.612903,1.612903,0.806452,0,0,0,4.693548,90.909091,9.25,,
12,123,2001,720,1114,S,370,18,0.515464,27.061856,36.597938,13.659794,12.113402,3.608247,1.546392,0.257732,0,4.639175,16.537838,85,7.224409,,
13,123,2001,778,1115,S,32,0,28.125,56.25,9.375,3.125,3.125,0,0,0,0,0,2.625,0,0,,
14,123,2001,782,1113,S,32,0,12.5,56.25,18.75,9.375,3.125,0,0,0,0,0,3.96875,83.333333,2.928571,,
15,123,2001,794,1111,S,140,3,4.195804,26.573427,37.762238,11.888112,7.692308,8.391608,0,1.398601,0,2.097902,19.757143,96.666667,1.783333,,
16,123,2001,825,1112,S,58,9,1.492537,31.343284,40.298507,4.477612,5.970149,2.985075,0,0,0,13.432836,8.206897,81.818182,13.03125,,
17,123,2001,825,1111,S,2,1,0,0,66.666667,0,0,0,0,0,0,33.333333,9.5,0,0,,
18,123,2001,826,1111,S,0,0,0,0,0,0,0,0,0,0,0,0,0,92.857143,2.821429,,
19,123,2001,829,1111,S,86,0,3.488372,27.906977,31.395349,9.302326,12.790698,11.627907,3.488372,0,0,0,22.465116,77.419355,6.964286,,
20,123,2001,919,1111,S,123,2,0,23.2,42.4,12,10.4,5.6,4,0.8,0,1.6,21.96748,68.376068,18.936937,,
21,123,2001,931,1111,S,85,0,2.352941,56.470588,20,2.352941,7.058824,10.588235,1.176471,0,0,0,15.835294,87.301587,3.95,,
22,123,2001,966,1112,S,88,24,4.464286,36.607143,30.357143,3.571429,2.678571,0.892857,0,0,0,21.428571,5.136364,0,0,,
23,123,2001,660,1116,S,8,0,0,25,37.5,12.5,0,12.5,12.5,0,0,0,34.375,0,0,,
24,123,2001,688,1111,S,24,0,4.166667,16.666667,37.5,20.833333,20.833333,0,0,0,0,0,17.833333,77.777778,14.388889,,
25,123,2001,747,1110,S,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,,
26,123,2001,678,1117,S,62,0,12.903226,59.677419,22.580645,4.83871,0,0,0,0,0,0,2.516129,0,0,,
27,123,2001,678,1111,S,48,0,10.416667,16.666667,37.5,8.333333,14.583333,12.5,0,0,0,0,21.833333,84.615385,5.884615,,
28,123,2001,568,1118,S,66,0,1.515152,40.909091,43.939394,6.060606,7.575758,0,0,0,0,0,6.590909,74.074074,4.409091,,
29,123,2001,568,1119,S,164,0,1.219512,38.414634,45.731707,6.707317,6.707317,1.219512,0,0,0,0,7.359756,75.555556,10.562963,,
30,123,2001,603,1116,S,1,0,0,0,0,0,100,0,0,0,0,0,50,0,0,,
31,123,2001,603,1120,S,100,6,0.943396,33.018868,34.90566,13.207547,7.54717,2.830189,1.886792,0,0,5.660377,14.76,68,9.681818,,
32,123,2001,837,1111,S,32,0,6.25,28.125,21.875,18.75,6.25,18.75,0,0,0,0,22.71875,0,0,,
33,123,2001,913,1116,S,81,4,4.705882,25.882353,31.764706,14.117647,9.411765,8.235294,1.176471,0,0,4.705882,19.45679,80,8,,
34,123,2001,913,1120,S,86,2,4.545455,56.818182,27.272727,3.409091,5.681818,0,0,0,0,2.272727,3.790698,0,0,,
35,123,2001,563,1121,S,20,0,10,30,40,10,0,5,5,0,0,0,15.95,100,2.5,,
36,123,2001,934,1122,C,16,0,0,18.75,50,18.75,12.5,0,0,0,0,0,12.125,83.333333,13.944444,,
37,123,2001,702,1113,S,8,0,0,0,25,12.5,62.5,0,0,0,0,0,35.375,60,15.2,,
38,123,2002,554,1111,S,46,0,2.173913,36.956522,34.782609,13.043478,2.173913,10.869565,0,0,0,0,14.847826,72.222222,17.382353,,
39,123,2002,973,1111,S,46,0,2.173913,36.956522,34.782609,13.043478,2.173913,10.869565,0,0,0,0,14.847826,72.222222,17.382353,,
40,123,2002,612,1117,S,195,7,10.891089,61.386139,16.336634,2.475248,2.475248,2.970297,0,0,0,3.465347,4.358974,0,0,,
41,123,2002,612,1115,S,0,0,0,0,0,0,0,0,0,0,0,0,0,91.666667,1.125,,
42,123,2002,612,1123,S,10,0,0,50,40,10,0,0,0,0,0,0,2.5,0,0,,
43,123,2002,612,1124,S,103,14,4.273504,48.717949,23.076923,4.273504,5.128205,0.854701,1.709402,0,0,11.965812,7.980583,0,0,,
44,123,2002,624,1113,S,18,0,0,66.666667,16.666667,16.666667,0,0,0,0,0,0,3.944444,0,0,,
45,123,2002,641,1117,S,18,0,5.555556,50,38.888889,5.555556,0,0,0,0,0,0,4,0,0,,
46,123,2002,641,1112,S,0,0,0,0,0,0,0,0,0,0,0,0,0,86.666667,0,,
47,123,2002,641,1125,S,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,,
48,123,2002,641,1123,S,28,0,3.571429,46.428571,35.714286,14.285714,0,0,0,0,0,0,3.857143,0,0,,
49,123,2002,680,1111,S,18,0,22.222222,72.222222,5.555556,0,0,0,0,0,0,0,0,100,0,,
50,123,2002,683,1124,S,46,12,0,22.413793,37.931034,3.448276,6.896552,3.448276,1.724138,3.448276,0,20.689655,24.695652,0,0,,
51,123,2002,684,1117,S,142,0,18.309859,59.15493,19.71831,0,1.408451,0,1.408451,0,0,0,3.28169,96.969697,0.171875,,
52,123,2002,684,1123,S,10,0,10,50,40,0,0,0,0,0,0,0,1.3,0,0,,
